image_path,crop_type,N,P,K,temperature,humidity,ph,rainfall,before_temp,after_temp,thermal_delta,health_status,green_ratio,efficiency_score,deficiency
../datasets/selected_plant_images\apple\apple_Apple_scab_98259104-a5dd-4751-88f2-27923a2317a3___FREC_Scab 3419.JPG,apple,30,127,204,22.50050273,92.45878335,6.126436584,100.9343903,22.04,23.86,1.82,stressed,0.445491868622449,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_98259104-a5dd-4751-88f2-27923a2317a3___FREC_Scab 3419.JPG,apple,12,129,205,22.36238282,91.15761594,6.119432215,118.68327250000002,22.73,24.11,1.38,stressed,0.445491868622449,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_98259104-a5dd-4751-88f2-27923a2317a3___FREC_Scab 3419.JPG,apple,15,123,204,22.52709326,92.54780429,6.365972687999999,115.3830068,21.84,23.85,2.01,stressed,0.445491868622449,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_b24daaef-81e1-47fc-a858-b8c8b346d956___FREC_Scab 2927.JPG,apple,29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,22.58,23.75,1.17,stressed,0.4975087691326531,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_b24daaef-81e1-47fc-a858-b8c8b346d956___FREC_Scab 2927.JPG,apple,36,144,196,23.65167552,94.50528753,6.496934492,115.3611268,24.6,26.59,1.99,stressed,0.4975087691326531,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_b24daaef-81e1-47fc-a858-b8c8b346d956___FREC_Scab 2927.JPG,apple,35,145,195,22.03911546,94.58075845,6.231950009,110.9804014,22.52,23.65,1.14,stressed,0.4975087691326531,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_b24daaef-81e1-47fc-a858-b8c8b346d956___FREC_Scab 2927.JPG,apple,14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,23.3,25.02,1.72,stressed,0.4975087691326531,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_b24daaef-81e1-47fc-a858-b8c8b346d956___FREC_Scab 2927.JPG,apple,9,137,200,21.12152071,90.6878768,5.636687393,102.8017203,20.72,22.31,1.59,stressed,0.4975087691326531,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_b56bccc2-4489-412c-83ac-ef0c7672ee70___FREC_Scab 3479.JPG,apple,37,126,196,23.59997268,90.97597665,5.596449493,107.17281909999998,22.94,24.94,2.0,stressed,0.3842075892857143,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_b56bccc2-4489-412c-83ac-ef0c7672ee70___FREC_Scab 3479.JPG,apple,34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,21.56,23.35,1.79,stressed,0.3842075892857143,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_b56bccc2-4489-412c-83ac-ef0c7672ee70___FREC_Scab 3479.JPG,apple,2,129,201,22.78234161,94.36803516,5.682343744,122.1449949,23.23,25.27,2.04,stressed,0.3842075892857143,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_b56bccc2-4489-412c-83ac-ef0c7672ee70___FREC_Scab 3479.JPG,apple,30,143,199,23.76881552,90.59810302,5.7983508000000015,102.2648546,23.28,25.46,2.18,stressed,0.3842075892857143,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_b56bccc2-4489-412c-83ac-ef0c7672ee70___FREC_Scab 3479.JPG,apple,0,123,205,22.02775403,92.96129462,5.790993052,121.1349176,22.48,24.13,1.65,stressed,0.3842075892857143,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_dce5b716-54ad-420c-911c-476b838c4be9___FREC_Scab 3045.JPG,apple,35,131,203,22.42776057,93.91722423,5.893490899,102.7230739,22.0,22.84,0.84,stressed,0.582649075255102,30.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_dce5b716-54ad-420c-911c-476b838c4be9___FREC_Scab 3045.JPG,apple,34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,22.63,24.38,1.75,stressed,0.582649075255102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_dce5b716-54ad-420c-911c-476b838c4be9___FREC_Scab 3045.JPG,apple,26,121,201,22.19109412,90.02575116,6.162034371,112.3126628,22.45,23.34,0.89,stressed,0.582649075255102,30.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_dce5b716-54ad-420c-911c-476b838c4be9___FREC_Scab 3045.JPG,apple,29,138,197,22.19055385,92.43764169,5.830892252000001,121.6622761,22.68,23.94,1.26,stressed,0.582649075255102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_dce5b716-54ad-420c-911c-476b838c4be9___FREC_Scab 3045.JPG,apple,35,138,200,21.19909519,90.80819418,5.67130617,103.6838922,21.39,22.43,1.04,stressed,0.582649075255102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_f684504f-ca6d-4f06-bb0e-2b296e3829b8___FREC_Scab 3314.JPG,apple,10,136,204,21.19852186,92.15595143,6.276198595,105.8554351,21.62,22.69,1.07,stressed,0.5402981505102041,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_f684504f-ca6d-4f06-bb0e-2b296e3829b8___FREC_Scab 3314.JPG,apple,16,143,197,22.61711614,93.51978375,5.90402645,116.9256766,21.82,23.57,1.75,stressed,0.5402981505102041,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_f684504f-ca6d-4f06-bb0e-2b296e3829b8___FREC_Scab 3314.JPG,apple,10,140,197,22.16939473,90.27185592,6.229498836,124.4683112,22.77,24.29,1.52,stressed,0.5402981505102041,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_f684504f-ca6d-4f06-bb0e-2b296e3829b8___FREC_Scab 3314.JPG,apple,7,141,195,23.8812458,93.45067555,5.514253142,104.9116663,24.75,26.29,1.54,stressed,0.5402981505102041,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Apple_scab_f684504f-ca6d-4f06-bb0e-2b296e3829b8___FREC_Scab 3314.JPG,apple,1,135,203,22.77856513,92.70124029,5.624203283,113.7759219,22.95,24.57,1.62,stressed,0.5402981505102041,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_00e909aa-e3ae-4558-9961-336bb0f35db3___JR_FrgE.S 8593.JPG,apple,29,132,204,23.08950736,90.22507299,6.0967531,108.2166601,23.19,25.05,1.86,stressed,0.44569116709183676,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_00e909aa-e3ae-4558-9961-336bb0f35db3___JR_FrgE.S 8593.JPG,apple,15,123,204,22.52709326,92.54780429,6.365972687999999,115.3830068,21.82,23.38,1.56,stressed,0.44569116709183676,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_00e909aa-e3ae-4558-9961-336bb0f35db3___JR_FrgE.S 8593.JPG,apple,27,120,200,21.45278675,90.74531921,6.1102188260000005,116.7036582,20.82,22.73,1.91,stressed,0.44569116709183676,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_00e909aa-e3ae-4558-9961-336bb0f35db3___JR_FrgE.S 8593.JPG,apple,13,126,204,23.1094265,92.79630809,6.3831802710000005,108.183792,22.13,24.1,1.97,stressed,0.44569116709183676,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_00e909aa-e3ae-4558-9961-336bb0f35db3___JR_FrgE.S 8593.JPG,apple,29,145,205,22.81227579,92.12992101,6.212302608,109.3383552,23.37,25.43,2.07,stressed,0.44569116709183676,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_1c31a116-f51d-4f56-9c69-c26c5fe69f57___JR_FrgE.S 2844.JPG,apple,0,145,205,21.22503442,90.09877774,5.52078314,113.9760462,20.78,22.45,1.66,stressed,0.5609654017857143,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_1c31a116-f51d-4f56-9c69-c26c5fe69f57___JR_FrgE.S 2844.JPG,apple,21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,23.46,24.49,1.03,stressed,0.5609654017857143,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_1c31a116-f51d-4f56-9c69-c26c5fe69f57___JR_FrgE.S 2844.JPG,apple,29,132,204,23.08950736,90.22507299,6.0967531,108.2166601,22.86,24.57,1.71,stressed,0.5609654017857143,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_1c31a116-f51d-4f56-9c69-c26c5fe69f57___JR_FrgE.S 2844.JPG,apple,14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,23.02,24.0,0.97,stressed,0.5609654017857143,30.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_1c31a116-f51d-4f56-9c69-c26c5fe69f57___JR_FrgE.S 2844.JPG,apple,21,135,198,23.86087054,94.92048112,5.7650151260000015,105.0241329,23.14,24.42,1.29,stressed,0.5609654017857143,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_337ea111-17e2-470d-8fae-1fe8c61c13dc___JR_FrgE.S 2985.JPG,apple,17,136,196,23.87192332,90.49939035,5.882155987999999,103.0548094,23.88,26.09,2.22,stressed,0.2267219387755102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_337ea111-17e2-470d-8fae-1fe8c61c13dc___JR_FrgE.S 2985.JPG,apple,7,144,197,23.8494014,94.34814995,6.133220586,114.0512495,24.46,26.74,2.28,stressed,0.2267219387755102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_337ea111-17e2-470d-8fae-1fe8c61c13dc___JR_FrgE.S 2985.JPG,apple,5,136,195,22.35628673,91.92360477,6.264202804,107.7697413,22.56,25.02,2.46,stressed,0.2267219387755102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_337ea111-17e2-470d-8fae-1fe8c61c13dc___JR_FrgE.S 2985.JPG,apple,10,125,196,22.31253665,90.03577124,5.730557448,113.0688155,22.11,24.45,2.34,stressed,0.2267219387755102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_337ea111-17e2-470d-8fae-1fe8c61c13dc___JR_FrgE.S 2985.JPG,apple,12,129,205,22.36238282,91.15761594,6.119432215,118.68327250000002,22.6,25.09,2.48,stressed,0.2267219387755102,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_5ac53fe2-9869-498b-b13c-fe8b3a5933b1___JR_FrgE.S 8678.JPG,apple,27,120,200,21.45278675,90.74531921,6.1102188260000005,116.7036582,22.11,23.73,1.62,stressed,0.3860411352040816,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_5ac53fe2-9869-498b-b13c-fe8b3a5933b1___JR_FrgE.S 8678.JPG,apple,8,120,201,21.18667419,91.13435689,6.321152192,122.233323,20.83,22.32,1.49,stressed,0.3860411352040816,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_5ac53fe2-9869-498b-b13c-fe8b3a5933b1___JR_FrgE.S 8678.JPG,apple,6,124,200,22.98208095,93.84505029,5.971332179,109.5852253,23.71,25.51,1.8,stressed,0.3860411352040816,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_5ac53fe2-9869-498b-b13c-fe8b3a5933b1___JR_FrgE.S 8678.JPG,apple,5,136,195,22.35628673,91.92360477,6.264202804,107.7697413,22.77,24.58,1.81,stressed,0.3860411352040816,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_5ac53fe2-9869-498b-b13c-fe8b3a5933b1___JR_FrgE.S 8678.JPG,apple,27,139,205,22.48403042,93.40819246,5.7721799460000005,105.5473627,22.86,24.32,1.45,stressed,0.3860411352040816,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_7add2e39-6555-4d52-ad02-b1bb061db8e7___JR_FrgE.S 3039.JPG,apple,32,141,203,21.25941052,92.84416234,5.821347769,109.06584709999998,20.92,22.67,1.74,stressed,0.37113360969387754,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_7add2e39-6555-4d52-ad02-b1bb061db8e7___JR_FrgE.S 3039.JPG,apple,10,125,196,22.31253665,90.03577124,5.730557448,113.0688155,23.02,24.79,1.77,stressed,0.37113360969387754,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_7add2e39-6555-4d52-ad02-b1bb061db8e7___JR_FrgE.S 3039.JPG,apple,20,129,201,23.41044706,91.69913296,5.587905967,116.07779309999998,23.18,24.83,1.65,stressed,0.37113360969387754,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_7add2e39-6555-4d52-ad02-b1bb061db8e7___JR_FrgE.S 3039.JPG,apple,36,140,198,23.34386401,91.47684705,6.28188384,104.4267991,22.41,24.54,2.13,stressed,0.37113360969387754,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_7add2e39-6555-4d52-ad02-b1bb061db8e7___JR_FrgE.S 3039.JPG,apple,32,137,204,22.86006627,93.12859895,5.824151692999999,117.7296726,23.05,25.06,2.01,stressed,0.37113360969387754,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_83ec5e47-c1db-4889-9725-9c2daab2d112___JR_FrgE.S 8583.JPG,apple,26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,21.68,23.27,1.59,stressed,0.25918765943877553,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_83ec5e47-c1db-4889-9725-9c2daab2d112___JR_FrgE.S 8583.JPG,apple,31,121,201,23.15791104,90.34396882,5.731535257999999,110.712841,23.22,25.53,2.31,stressed,0.25918765943877553,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_83ec5e47-c1db-4889-9725-9c2daab2d112___JR_FrgE.S 8583.JPG,apple,10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,22.32,24.48,2.16,stressed,0.25918765943877553,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_83ec5e47-c1db-4889-9725-9c2daab2d112___JR_FrgE.S 8583.JPG,apple,34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,21.69,23.62,1.93,stressed,0.25918765943877553,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_83ec5e47-c1db-4889-9725-9c2daab2d112___JR_FrgE.S 8583.JPG,apple,2,140,197,22.69780133,92.82223419,5.53456749,105.0508234,23.01,24.75,1.75,stressed,0.25918765943877553,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_a2d0df69-e2ee-4b7b-8b48-051027a83258___JR_FrgE.S 2936.JPG,apple,40,120,197,23.80593812,92.48879468,5.889480679,119.6335548,22.88,24.16,1.28,stressed,0.4046157525510204,22.0,Balanced
../datasets/selected_plant_images\apple\apple_Black_rot_a2d0df69-e2ee-4b7b-8b48-051027a83258___JR_FrgE.S 2936.JPG,apple,2,129,201,22.78234161,94.36803516,5.682343744,122.1449949,22.46,23.93,1.47,stressed,0.4046157525510204,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_a2d0df69-e2ee-4b7b-8b48-051027a83258___JR_FrgE.S 2936.JPG,apple,38,135,203,23.76121837,93.661643,5.9655513110000005,100.825956,22.96,24.34,1.37,stressed,0.4046157525510204,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_a2d0df69-e2ee-4b7b-8b48-051027a83258___JR_FrgE.S 2936.JPG,apple,27,139,205,22.48403042,93.40819246,5.7721799460000005,105.5473627,23.47,25.52,2.05,stressed,0.4046157525510204,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_a2d0df69-e2ee-4b7b-8b48-051027a83258___JR_FrgE.S 2936.JPG,apple,0,123,205,22.02775403,92.96129462,5.790993052,121.1349176,22.61,23.95,1.34,stressed,0.4046157525510204,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_a572ba2c-a691-4133-bb2f-e6e97edb749c___JR_FrgE.S 2991.JPG,apple,2,131,199,22.47420512,91.22759742,6.017370134,124.2179699,22.3,23.66,1.36,stressed,0.5411551339285714,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_a572ba2c-a691-4133-bb2f-e6e97edb749c___JR_FrgE.S 2991.JPG,apple,15,123,204,22.52709326,92.54780429,6.365972687999999,115.3830068,23.4,24.41,1.01,stressed,0.5411551339285714,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_a572ba2c-a691-4133-bb2f-e6e97edb749c___JR_FrgE.S 2991.JPG,apple,31,130,198,21.80129837,92.73446667,5.554823557000001,120.05866709999998,21.05,22.56,1.52,stressed,0.5411551339285714,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_a572ba2c-a691-4133-bb2f-e6e97edb749c___JR_FrgE.S 2991.JPG,apple,40,120,197,23.80593812,92.48879468,5.889480679,119.6335548,23.61,24.94,1.33,stressed,0.5411551339285714,22.0,Balanced
../datasets/selected_plant_images\apple\apple_Black_rot_a572ba2c-a691-4133-bb2f-e6e97edb749c___JR_FrgE.S 2991.JPG,apple,40,136,202,22.85267372,94.57645809999998,5.935336307999999,117.53140259999998,23.52,25.24,1.72,stressed,0.5411551339285714,22.0,Balanced
../datasets/selected_plant_images\apple\apple_Black_rot_c7cdbb47-6660-44b5-8bb6-3cb796685d15___JR_FrgE.S 2834.JPG,apple,9,139,199,23.25230817,94.54128292,5.867420996,105.3558408,23.57,25.05,1.48,stressed,0.5017139668367347,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_c7cdbb47-6660-44b5-8bb6-3cb796685d15___JR_FrgE.S 2834.JPG,apple,32,141,203,21.25941052,92.84416234,5.821347769,109.06584709999998,21.88,23.16,1.28,stressed,0.5017139668367347,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_c7cdbb47-6660-44b5-8bb6-3cb796685d15___JR_FrgE.S 2834.JPG,apple,6,124,200,22.98208095,93.84505029,5.971332179,109.5852253,23.46,25.32,1.86,stressed,0.5017139668367347,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_c7cdbb47-6660-44b5-8bb6-3cb796685d15___JR_FrgE.S 2834.JPG,apple,33,121,203,22.45696744,94.76285385,5.6059340870000005,114.8407725,22.01,23.82,1.81,stressed,0.5017139668367347,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_c7cdbb47-6660-44b5-8bb6-3cb796685d15___JR_FrgE.S 2834.JPG,apple,33,138,198,22.29423493,90.69033986,6.222390797999999,122.7418744,23.07,24.12,1.05,stressed,0.5017139668367347,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_e6ea57b6-04c9-4873-83d5-f6d859d54dbb___JR_FrgE.S 2848.JPG,apple,2,129,201,22.78234161,94.36803516,5.682343744,122.1449949,21.9,24.25,2.34,stressed,0.2681162308673469,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_e6ea57b6-04c9-4873-83d5-f6d859d54dbb___JR_FrgE.S 2848.JPG,apple,29,145,205,22.81227579,92.12992101,6.212302608,109.3383552,22.22,24.16,1.95,stressed,0.2681162308673469,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_e6ea57b6-04c9-4873-83d5-f6d859d54dbb___JR_FrgE.S 2848.JPG,apple,26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,21.91,23.69,1.78,stressed,0.2681162308673469,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_e6ea57b6-04c9-4873-83d5-f6d859d54dbb___JR_FrgE.S 2848.JPG,apple,9,143,197,23.75033085,92.88160462,5.570020684,117.6602827,24.75,26.4,1.66,stressed,0.2681162308673469,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Black_rot_e6ea57b6-04c9-4873-83d5-f6d859d54dbb___JR_FrgE.S 2848.JPG,apple,29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,22.91,25.15,2.25,stressed,0.2681162308673469,22.0,N_deficient
../datasets/selected_plant_images\apple\apple_Cedar_apple_rust_1cfc6e73-1d86-4fb9-bffb-010163531711___FREC_C.Rust 3944.JPG,apple,13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,23.15,24.73,1.57,stressed,0.4141422193877551,22.0,N_deficient
